epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,223.515,1.27384,3.28651,1.43371,0.3109,0.39025,0.34136,0.22894,1.12455,2.61,1.34983,0.000254669,0.000254669,0.000254669
2,461.961,1.12266,2.10892,1.28959,0.46611,0.58921,0.53147,0.34805,1.05539,1.88308,1.25963,0.000494139,0.000494139,0.000494139
3,686.544,1.06674,1.77005,1.23659,0.63036,0.61662,0.60416,0.42376,0.99563,1.61144,1.22004,0.000716691,0.000716691,0.000716691
4,897.768,1.03285,1.59794,1.20204,0.6568,0.70919,0.7073,0.52422,0.92966,1.38247,1.151,0.000692869,0.000692869,0.000692869
5,1117.66,0.99913,1.4716,1.17569,0.67757,0.7381,0.74628,0.54772,0.90724,1.28529,1.13625,0.000667492,0.000667492,0.000667492
6,1341.17,0.96135,1.36492,1.15299,0.7712,0.77317,0.81957,0.61974,0.8722,1.19684,1.11491,0.000642115,0.000642115,0.000642115
7,1557.87,0.91799,1.27013,1.12899,0.77138,0.74981,0.80903,0.59543,0.91289,1.23458,1.13078,0.000616738,0.000616738,0.000616738
8,1770.69,0.90675,1.21145,1.12215,0.81528,0.82432,0.87211,0.6762,0.82682,1.01776,1.06991,0.000591361,0.000591361,0.000591361
9,1981.22,0.87341,1.15139,1.09991,0.85142,0.84303,0.8952,0.71075,0.78439,0.92441,1.04535,0.000565984,0.000565984,0.000565984
10,2193.07,0.86506,1.08664,1.09312,0.84298,0.86283,0.90243,0.71906,0.7688,0.89152,1.03242,0.000540607,0.000540607,0.000540607
11,2405.4,0.84776,1.07639,1.08776,0.87383,0.85992,0.91275,0.73158,0.76201,0.83057,1.02285,0.00051523,0.00051523,0.00051523
12,2617.31,0.82197,0.99917,1.06474,0.87276,0.86336,0.914,0.73023,0.74804,0.79664,1.02295,0.000489853,0.000489853,0.000489853
13,2830.64,0.81215,0.98431,1.06255,0.85238,0.87751,0.91599,0.73031,0.74539,0.79763,1.01662,0.000464476,0.000464476,0.000464476
14,3044.64,0.7996,0.93652,1.05351,0.88221,0.89237,0.92202,0.74496,0.73672,0.74037,1.01099,0.000439099,0.000439099,0.000439099
15,3258.28,0.79481,0.91306,1.05158,0.90519,0.8748,0.93139,0.75981,0.72692,0.72327,1.00364,0.000413722,0.000413722,0.000413722
16,3472.06,0.78212,0.87212,1.03896,0.88062,0.8868,0.92678,0.75749,0.70431,0.70494,0.99361,0.000388345,0.000388345,0.000388345
17,3686.54,0.77225,0.87006,1.03777,0.90018,0.896,0.93651,0.77492,0.69913,0.6796,0.98818,0.000362968,0.000362968,0.000362968
18,3930.75,0.76136,0.83215,1.03479,0.89139,0.91273,0.94155,0.76901,0.7145,0.65775,0.99793,0.000337591,0.000337591,0.000337591
19,4213.34,0.74432,0.81019,1.02085,0.90008,0.90237,0.94364,0.78332,0.68484,0.64806,0.98043,0.000312214,0.000312214,0.000312214
20,4517.19,0.73526,0.79613,1.02024,0.9037,0.91676,0.94309,0.78176,0.6828,0.617,0.98074,0.000286837,0.000286837,0.000286837
21,4819.1,0.67559,0.67625,1.00079,0.90817,0.91212,0.94812,0.7843,0.67865,0.63791,0.98192,0.00026146,0.00026146,0.00026146
22,5121.06,0.65581,0.6324,0.98452,0.91471,0.90372,0.95117,0.7944,0.66285,0.60236,0.97128,0.000236083,0.000236083,0.000236083
23,5422.05,0.63671,0.60207,0.97486,0.9199,0.90905,0.95544,0.80586,0.64925,0.57488,0.95704,0.000210706,0.000210706,0.000210706
24,5728.83,0.62864,0.57947,0.97284,0.92914,0.91935,0.95357,0.80408,0.64789,0.57073,0.95881,0.000185329,0.000185329,0.000185329
25,6144.58,0.6177,0.56271,0.96758,0.91581,0.92892,0.95449,0.80656,0.6431,0.55363,0.95489,0.000159952,0.000159952,0.000159952
26,9046.1,0.60485,0.54911,0.95639,0.91802,0.92616,0.95657,0.81158,0.62801,0.53844,0.9503,0.000134575,0.000134575,0.000134575
27,9252.94,0.59031,0.52692,0.95234,0.93536,0.92182,0.96253,0.8171,0.62824,0.52022,0.9474,0.000109198,0.000109198,0.000109198
28,9459.65,0.57838,0.50979,0.94158,0.9249,0.92528,0.95924,0.81399,0.61957,0.52152,0.94413,8.3821e-05,8.3821e-05,8.3821e-05
29,9666.54,0.57601,0.5089,0.94007,0.92448,0.93242,0.96112,0.8192,0.61417,0.51268,0.94084,5.8444e-05,5.8444e-05,5.8444e-05
30,9874.14,0.56988,0.4983,0.93858,0.92691,0.93436,0.96258,0.82186,0.61099,0.50702,0.93932,3.3067e-05,3.3067e-05,3.3067e-05
